1,"Actinium","Ac","2.47","2.01",
2,"Aluminum","Al","1.84","1.24",
3,"Americium","Am","2.44","1.73",
4,"Antimony","Sb","2.06","1.40",
5,"Argon","Ar","1.88","1.01",
6,"Arsenic","As","1.85","1.20",
7,"Astatine","At","2.02","1.48",
8,"Barium","Ba","2.68","2.06",
9,"Berkelium","Bk","2.44","1.68",
10,"Beryllium","Be","1.53","0.99",
11,"Bismuth","Bi","2.07","1.50",
12,"Bohrium","Bh",,"1.41",
13,"Boron","B","1.92","0.84",
14,"Bromine","Br","1.85","1.17",
15,"Cadmium","Cd","2.18","1.40",
16,"Calcium","Ca","2.31","1.74",
17,"Californium","Cf","2.45","1.68",
18,"Carbon","C","1.70","0.75",
19,"Cerium","Ce","2.42","1.84",
20,"Cesium","Cs","3.43","2.38",
21,"Chlorine","Cl","1.75","1.00",
22,"Chromium","Cr","2.06","1.30",
23,"Cobalt","Co","2.00","1.18",
24,"Copernicium","Cp",,"1.22",
25,"Copper","Cu","1.96","1.22",
26,"Curium","Cm","2.45","1.68",
27,"Darmstadtium","Ds",,"1.28",
28,"Dubnium","Db",,"1.49",
29,"Dysprosium","Dy","2.31","1.80",
30,"Einsteinium","Es","2.45","1.65",
31,"Erbium","Er","2.29","1.77",
32,"Europium","Eu","2.35","1.83",
33,"Fermium","Fm","2.45","1.67",
34,"Fluorine","F","1.47","0.60",
35,"Francium","Fr","3.48","2.42",
36,"Gadolinium","Gd","2.34","1.82",
37,"Gallium","Ga","1.87","1.23",
38,"Germanium","Ge","2.11","1.20",
39,"Gold","Au","2.14","1.30",
40,"Hafnium","Hf","2.23","1.64",
41,"Hassium","Hs",,"1.34",
42,"Helium","He","1.40","0.37",
43,"Holmium","Ho","2.30","1.79",
44,"Hydrogen","H","1.10","0.32",
45,"Indium","In","1.93","1.42",
46,"Iodine","I","1.98","1.36",
47,"Iridium","Ir","2.13","1.32",
48,"Iron","Fe","2.04","1.24",
49,"Krypton","Kr","2.02","1.16",
50,"Lanthanum","La","2.43","1.94"
51,"Lawrencium","Lr","2.46","1.61",
52,"Lead","Pb","2.02","1.45",
53,"Lithium","Li","1.82","1.30",
54,"Lutetium","Lu","2.24","1.74",
55,"Magnesium","Mg","1.73","1.40",
56,"Manganese","Mn","2.05","1.29",
57,"Meitnerium","Mt",,"1.29",
58,"Mendelevium","Md","2.46","1.73",
59,"Mercury","Hg","2.23","1.32",
60,"Molybdenum","Mo","2.17","1.46",
61,"Neodymium","Nd","2.39","1.88",
62,"Neon","Ne","1.54","0.62",
63,"Neptunium","Np","2.39","1.80",
64,"Nickel","Ni","1.97","1.17",
65,"Niobium","Nb","2.18","1.56",
66,"Nitrogen","N","1.55","0.71",
67,"Nobelium","No","2.46","1.76",
68,"Osmium","Os","2.16","1.36",
69,"Oxygen","O","1.52","0.64",
70,"Palladium","Pd","2.10","1.30",
71,"Phosphorus","P","1.80","1.09",
72,"Platinum","Pt","2.13","1.30",
73,"Plutonium","Pu","2.43","1.80",
74,"Polonium","Po","1.97","1.42",
75,"Potassium","K","2.75","2.00",
76,"Praseodymium","Pr","2.40","1.90",
77,"Promethium","Pm","2.38","1.86",
78,"Protactinium","Pa","2.43","1.84",
79,"Radium","Ra","2.83","2.11",
80,"Radon","Rn","2.20","1.46",
81,"Rhenium","Re","2.16","1.41",
82,"Rhodium","Rh","2.10","1.34",
83,"Roentgenium","Rg",,"1.21",
84,"Rubidium","Rb","3.03","2.15",
85,"Ruthenium","Ru","2.13","1.36",
86,"Rutherfordium","Rf",,"1.57",
87,"Samarium","Sm","2.36","1.85",
88,"Scandium","Sc","2.15","1.59",
89,"Seaborgium","Sg",,"1.43",
90,"Selenium","Se","1.90","1.18",
91,"Silicon","Si","2.10","1.14",
92,"Silver","Ag","2.11","1.36",
93,"Sodium","Na","2.27","1.60",
94,"Strontium","Sr","2.49","1.90",
95,"Sulfur","S","1.80","1.04",
96,"Tantalum","Ta","2.22","1.58",
97,"Technetium","Tc","2.16","1.38",
98,"Tellurium","Te","2.06","1.37",
99,"Terbium","Tb","2.33","1.81",
100,"Thallium","Tl","1.96","1.44",
101,"Thorium","Th","2.45","1.90",
102,"Thulium","Tm","2.27","1.77",
103,"Tin","Sn","2.17","1.40",
104,"Titanium","Ti","2.11","1.48",
105,"Tungsten","W","2.18","1.50",
106,"Ununhexium","Uuh",,"1.75",
107,"Ununoctium","Uuo",,"1.57",
108,"Ununpentium","Uup",,"1.62",
109,"Ununquadium","Uuq",,"1.43",
110,"Ununseptium","Uus",,"1.65",
111,"Ununtrium","Uut",,"1.36",
112,"Uranium","U","2.41","1.83",
113,"Vanadium","V","2.07","1.44",
114,"Xenon","Xe","2.16","1.36",
115,"Ytterbium","Yb","2.26","1.78",
116,"Yttrium","Y","2.32","1.76",
117,"Zinc","Zn","2.01","1.20",
118,"Zirconium","Zr","2.23","1.64",
